framework,accuracy_score,average_precision_score,balanced_accuracy_score,cohen_kappa_score,f1_score_macro,f1_score_micro,f1_score_weighted,matthews_corrcoef,precision_score,recall_score,roc_auc_score,coverage_error,label_ranking_average_precision_score,label_ranking_loss,training_time,test_time
autogluon,0.630,-1.000,0.535,0.511,0.551,0.630,0.623,0.513,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:00:12,00:00:00
autokeras,0.468,-1.000,0.496,0.313,0.466,0.468,0.467,0.313,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:00:56,00:00:00
autopytorch,0.646,-1.000,0.589,0.531,0.613,0.646,0.639,0.533,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:10:40,00:02:32
autosklearn,0.620,-1.000,0.588,0.501,0.584,0.620,0.613,0.502,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:11:29,00:00:00
evalml,0.609,-1.000,0.583,0.486,0.574,0.609,0.601,0.489,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:10:02,00:00:00
flaml,0.606,-1.000,0.584,0.485,0.561,0.606,0.596,0.485,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:10:00,00:00:00
gama,0.623,-1.000,0.603,0.506,0.595,0.623,0.616,0.507,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:09:00,00:00:00
h2o,0.219,-1.000,0.081,-0.113,0.067,0.219,0.177,-0.124,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:10:05,00:00:00
lightautoml,0.229,-1.000,0.117,0.034,0.107,0.229,0.214,0.036,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:01:07,00:00:00
tpot,0.606,-1.000,0.533,0.485,0.544,0.606,0.598,0.486,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:10:01,00:00:00
