framework,accuracy_score,average_precision_score,balanced_accuracy_score,cohen_kappa_score,f1_score_macro,f1_score_micro,f1_score_weighted,matthews_corrcoef,precision_score,recall_score,roc_auc_score,coverage_error,label_ranking_average_precision_score,label_ranking_loss,training_time,test_time
autogluon,0.948,0.932,0.945,0.893,0.946,0.948,0.948,0.893,0.945,0.966,0.945,-1.000,-1.000,-1.000,00:00:15,00:00:00
autokeras,0.923,0.902,0.918,0.841,0.921,0.923,0.923,0.842,0.920,0.949,0.918,-1.000,-1.000,-1.000,00:02:24,00:00:02
autopytorch,0.955,0.936,0.950,0.908,0.954,0.955,0.955,0.909,0.942,0.983,0.950,-1.000,-1.000,-1.000,00:12:41,00:01:32
autosklearn,0.961,0.945,0.957,0.920,0.960,0.961,0.961,0.920,0.952,0.981,0.957,-1.000,-1.000,-1.000,00:23:31,00:00:01
evalml,0.948,0.924,0.942,0.892,0.946,0.948,0.948,0.894,0.930,0.983,0.942,-1.000,-1.000,-1.000,00:10:01,00:00:00
flaml,0.957,0.940,0.953,0.911,0.955,0.957,0.956,0.911,0.949,0.977,0.953,-1.000,-1.000,-1.000,00:10:00,00:00:00
gama,0.957,0.939,0.952,0.911,0.955,0.957,0.956,0.911,0.947,0.979,0.952,-1.000,-1.000,-1.000,00:09:00,00:00:00
h2o,0.884,0.856,0.876,0.760,0.880,0.884,0.883,0.761,0.879,0.927,0.876,-1.000,-1.000,-1.000,00:10:05,00:00:00
lightautoml,0.423,0.577,0.500,0.000,0.297,0.423,0.252,0.000,0.000,0.000,0.500,-1.000,-1.000,-1.000,00:01:58,00:00:00
tpot,0.957,0.940,0.953,0.911,0.955,0.957,0.956,0.911,0.949,0.977,0.953,-1.000,-1.000,-1.000,00:10:01,00:00:00
