framework,accuracy_score,average_precision_score,balanced_accuracy_score,cohen_kappa_score,f1_score_macro,f1_score_micro,f1_score_weighted,matthews_corrcoef,precision_score,recall_score,roc_auc_score,coverage_error,label_ranking_average_precision_score,label_ranking_loss,training_time,test_time
autogluon,1.000,-1.000,1.000,1.000,1.000,1.000,1.000,1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:00:13,00:00:00
autokeras,1.000,-1.000,1.000,1.000,1.000,1.000,1.000,1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:01:25,00:00:01
autopytorch,1.000,-1.000,1.000,1.000,1.000,1.000,1.000,1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:17:44,00:03:27
autosklearn,1.000,-1.000,1.000,1.000,1.000,1.000,1.000,1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:10:06,00:00:02
evalml,1.000,-1.000,1.000,1.000,1.000,1.000,1.000,1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:10:00,00:00:00
flaml,1.000,-1.000,1.000,1.000,1.000,1.000,1.000,1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:10:00,00:00:00
gama,1.000,-1.000,1.000,1.000,1.000,1.000,1.000,1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:08:59,00:00:00
h2o,0.906,-1.000,0.730,0.888,0.742,0.906,0.891,0.890,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:10:05,00:00:00
lightautoml,0.146,-1.000,0.200,0.046,0.200,0.146,0.146,0.049,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:00:26,00:00:00
tpot,1.000,-1.000,1.000,1.000,1.000,1.000,1.000,1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:12:53,00:00:00
